DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
200513040,08/16/2020 0:00,08/16/2020 0:00,1830,5,Harbor,521,1,220,ATTEMPTED ROBBERY,0329 0400 0429 1218 1814 2000 2004 0913 0910,42,F,W,124,BUS STOP,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,220,451,,,GAFFEY,WESTMONT,33.7645,-118.2935
201915946,10/21/2020 0:00,10/20/2020 0:00,2315,19,Mission,1962,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0334 1822 0302,45,F,H,247,CAR WASH,109,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,230,,,,9800 N  SEPULVEDA                    BL,,34.2482,-118.4674
230911060,06/26/2023 0:00,06/26/2023 0:00,1156,9,Van Nuys,974,1,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),0325 1822,23,F,W,402,MARKET,,,IC,Invest Cont,343,,,,14800    VENTURA                      BL,,34.1547,-118.453
201709771,06/06/2020 0:00,06/06/2020 0:00,1000,17,Devonshire,1705,1,330,BURGLARY FROM VEHICLE,1202 0377 1609 0344,74,F,O,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,330,,,,17300    SESNON                       BL,,34.3074,-118.5108
222115683,10/21/2022 0:00,10/20/2022 0:00,1100,21,Topanga,2156,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,108,PARKING LOT,,,IC,Invest Cont,420,,,,21900    VANOWEN                      ST,,34.1938,-118.6044
200815084,10/10/2020 0:00,10/10/2020 0:00,1030,8,West LA,822,1,330,BURGLARY FROM VEHICLE,0930 1210 0358 0344 1822,34,F,W,108,PARKING LOT,,,IC,Invest Cont,330,,,,SUNSET                       BL,TEMESCAL CAN                 RD,34.043,-118.5398
240505107,01/29/2024 0:00,01/29/2024 0:00,2158,5,Harbor,541,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0913 1814 0448 0421,46,F,H,108,PARKING LOT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,900 N  WESTERN                      AV,,33.7501,-118.3092
210510022,06/07/2021 0:00,05/26/2021 0:00,1200,5,Harbor,504,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0394,42,F,H,710,OTHER PREMISE,,,IC,Invest Cont,440,,,,1500    TORRANCE                     BL,,33.8403,-118.306
200113466,06/16/2020 0:00,06/16/2020 0:00,138,1,Central,162,1,310,BURGLARY,0329 1601 1822 1414 1403 0417 1402,0,X,X,210,RESTAURANT/FAST FOOD,,,IC,Invest Cont,310,998,,,800 S  FLOWER                       ST,,34.0473,-118.2601
221711461,07/21/2022 0:00,07/21/2022 0:00,1430,17,Devonshire,1779,2,624,BATTERY - SIMPLE ASSAULT,1810 0913 0416,28,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,16000    TUPPER                       ST,,34.2392,-118.4807
201209358,03/17/2020 0:00,03/17/2020 0:00,1350,12,77th Street,1208,1,210,ROBBERY,2000 1814 0913 0418 0345 0448 0429 0344 2038 0216,27,F,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,210,626,910,,700 W  52ND                         ST,,33.9997,-118.2849
230409734,06/25/2023 0:00,06/25/2023 0:00,300,4,Hollenbeck,491,1,220,ATTEMPTED ROBBERY,0400,44,M,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,220,,,,OLYMPIC,BOYLE,34.0246,-118.2207
211412710,06/01/2021 0:00,06/01/2021 0:00,1325,14,Pacific,1412,2,437,RESISTING ARREST,1501,0,X,X,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,437,,,,CLUBHOUSE,OCEAN FRONT                  WK,33.9892,-118.4751
231115359,11/04/2023 0:00,08/01/2023 0:00,1800,11,Northeast,1171,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0352,27,M,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,341,,,,1700    LUCILE                       AV,,34.0932,-118.277
210916346,11/10/2021 0:00,11/10/2021 0:00,240,9,Van Nuys,981,1,250,"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT",1300 1310 1822 0334 1414 0340 1312,35,M,B,101,STREET,102,HAND GUN,IC,Invest Cont,250,,,,SEPULVEDA                    BL,VENTURA                      BL,34.1538,-118.4662
232013543,08/01/2023 0:00,08/01/2023 0:00,115,20,Olympic,2093,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1814 0444 0448 1311 0447 0432,29,F,H,122,"VEHICLE, PASSENGER/TRUCK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,1900 W  20TH                         ST,,34.0382,-118.3003
221200516,01/13/2022 0:00,01/13/2022 0:00,2000,12,77th Street,1203,2,946,OTHER MISCELLANEOUS CRIME,1402 1407 1419,0,X,X,101,STREET,,,AA,Adult Arrest,946,,,,1600 W  47TH                         ST,,34.001,-118.3068
210612698,07/14/2021 0:00,07/14/2021 0:00,1020,6,Hollywood,645,2,888,TRESPASSING,1501 1822 2004 1402,0,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,888,998,,,6800    HOLLYWOOD                    BL,,34.1016,-118.3391
210918241,12/31/2021 0:00,12/31/2021 0:00,1200,9,Van Nuys,964,1,330,BURGLARY FROM VEHICLE,0344,61,F,H,108,PARKING LOT,,,IC,Invest Cont,330,,,,14000    RIVERSIDE                    DR,,34.1576,-118.4387
221312663,06/09/2022 0:00,06/09/2022 0:00,1415,13,Newton,1393,2,624,BATTERY - SIMPLE ASSAULT,1822 1313 1309 0446 1259 1251 0416,14,M,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,100 W  69TH                         ST,,33.9774,-118.2739
241513019,08/21/2024 0:00,08/17/2024 0:00,1450,15,N Hollywood,1549,2,888,TRESPASSING,1822 2052 1501 0910 2004,0,X,X,913,MTA - RED LINE - NORTH HOLLYWOOD,,,AA,Adult Arrest,888,,,,5300    LANKERSHIM                   BL,,34.172,-118.3789
230613797,08/13/2023 0:00,08/11/2023 0:00,1,6,Hollywood,644,2,946,OTHER MISCELLANEOUS CRIME,1501,38,F,W,119,"PORCH, RESIDENTIAL",,,IC,Invest Cont,946,,,,1400 N  FORMOSA                      AV,,34.0962,-118.3462
231509155,05/02/2023 0:00,05/02/2023 0:00,1630,15,N Hollywood,1504,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,RADFORD                      AV,RUNNYMEDE                    ST,34.2057,-118.3921
231014885,10/18/2023 0:00,10/14/2023 0:00,1200,10,West Valley,1049,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,VICTORY                      BL,GLORIA                       BL,34.1866,-118.4793
201610349,06/23/2020 0:00,06/23/2020 0:00,2255,16,Foothill,1638,1,310,BURGLARY,1822 0358 1307,0,M,O,725,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",,,IC,Invest Cont,310,,,,7700    FOOTHILL                     BL,,34.2595,-118.293
220205202,01/29/2022 0:00,01/29/2022 0:00,1500,2,Rampart,246,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0334 0445 0411 1822 1210,51,M,H,101,STREET,200,KNIFE WITH BLADE 6INCHES OR LESS,IC,Invest Cont,230,,,,ALVARADO,WILSHIRE,34.0579,-118.2759
200308858,03/21/2020 0:00,03/19/2020 0:00,2000,3,Southwest,333,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,2800    SOMERSET                     DR,,34.0312,-118.3374
202015045,09/23/2020 0:00,09/23/2020 0:00,1435,20,Olympic,2064,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0913 0329,0,X,X,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AO,Adult Other,740,,,,1100 S  ARDMORE                      AV,,34.0491,-118.3021
211519134,12/28/2021 0:00,12/27/2021 0:00,1530,15,N Hollywood,1567,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,10700    MOORPARK                     ST,,34.1504,-118.364
241713601,10/12/2024 0:00,10/04/2024 0:00,2200,17,Devonshire,1755,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1606 2004 0344,30,M,O,101,STREET,,,IC,Invest Cont,331,,,,LEMARSH                      ST,ZELZAH                       AV,34.2532,-118.5278
241413809,10/04/2024 0:00,10/02/2024 0:00,1130,14,Pacific,1407,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,10100    PALMS                        BL,,34.0284,-118.4048
201706316,02/22/2020 0:00,02/21/2020 0:00,1200,17,Devonshire,1794,1,310,BURGLARY,0344,0,X,X,203,OTHER BUSINESS,,,AA,Adult Arrest,310,,,,8600    RESEDA                       BL,,34.2265,-118.5361
221207462,03/05/2022 0:00,03/05/2022 0:00,2245,12,77th Street,1252,1,210,ROBBERY,1822 0342 0302 0321 0216 0344,0,X,X,239,MEDICAL MARIJUANA FACILITIES/BUSINESSES,102,HAND GUN,AA,Adult Arrest,210,,,,7100    8TH                          AV,,33.9757,-118.3265
200216186,10/12/2020 0:00,10/09/2020 0:00,745,2,Rampart,218,1,330,BURGLARY FROM VEHICLE,1822 0329 0344 1605 0358,28,F,H,101,STREET,,,IC,Invest Cont,330,,,,1000 N  WEST KENSINGTON              RD,,34.0735,-118.2572
220514622,10/08/2022 0:00,10/08/2022 0:00,530,5,Harbor,551,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0408 0429 0432 0913 1309 1310 1311 1318,55,F,W,101,STREET,511,VERBAL THREAT,AA,Adult Arrest,230,,,,SANTA CRUZ                   ST,WESTERN                      AV,33.7449,-118.3096
201105267,01/30/2020 0:00,01/29/2020 0:00,2230,11,Northeast,1129,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0913 1813,40,F,A,501,SINGLE FAMILY DWELLING,500,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,626,,,,700 N  AVENUE 66,,34.1188,-118.1755
